merger,error_of_value,error_thermal,error_renewable,error_nsp,error_1_to_2,error_1_to_3,error_2_to_1,error_2_to_3,error_3_to_1,error_3_to_2,rel_error_of_value,rel_error_thermal,rel_error_renewable,rel_error_nsp,rel_error_1_to_2,rel_error_1_to_3,rel_error_2_to_1,rel_error_2_to_3,rel_error_3_to_1,rel_error_3_to_2
"['1', '2', '3', '4', '5+7', '6', '8']",150062.00000166893,7180.000000006519,-7180.0000000006985,8.731149137020111e-11,0.0,0.0,-1.0244548320770264e-08,0.0,-2.3283064365386963e-10,-7180.000000000524,0.00016333405637947163,0.003053682708100469,-0.005848265103522099,5.551115123125783e-16,0.0,0.0,-3.774758283725532e-15,0.0,-2.220446049250313e-16,-0.0180773707256201
"['1', '2', '3', '4', '5+7', '6+8']",594681400.8337785,-112302.17183499364,-7180.0000000006985,119482.17183500019,0.0,0.0,-119482.1718350104,0.0,-4.656612873077393e-10,-7180.000000000524,0.647277295054759,-0.047762562703947076,-0.005848265103522099,0.6960949217907999,0.0,0.0,-0.04347270759970456,0.0,-6.661338147750939e-16,-0.0180773707256201
"['1', '2', '3', '4', '5+7+8', '6']",259724727.27954674,-44984.20582799334,-7180.0000000006985,52164.20582800005,0.0,0.0,55770.794171989895,0.0,-107935.00000000035,100754.99999999948,0.2826957740676509,-0.019131962600898778,-0.005848265103522099,0.30390507820920065,0.0,0.0,0.020291792410587983,0.0,-0.12995873376923206,0.25367485897767517
"['1', '2', '3', '4', '5+8', '6', '7']",190495678.5878445,-38282.39676999347,-6.984919309616089e-10,38282.39677000005,0.0,0.0,24722.603229989763,0.0,-63005.00000000035,63004.999999999476,0.20734384391891514,-0.016281656412404644,-6.661338147750939e-16,0.2230306126538909,0.0,0.0,0.00899513697160581,0.0,-0.07586093501765401,0.15863018698713083
"['1', '2', '3', '4', '5+8', '6+7']",414217420.5878446,-76032.39676999347,-7180.0000000006985,83212.3967700001,0.0,0.0,24722.603229989763,0.0,-107935.00000000035,100754.99999999948,0.45085239119089393,-0.03233688234982668,-0.005848265103522099,0.4847897048743677,0.0,0.0,0.00899513697160581,0.0,-0.12995873376923206,0.25367485897767517
"['1', '2', '3', '4+5', '6', '7', '8']",146037310.99987066,-17775.51618799381,-11525.000000000698,29300.516188000038,0.0,0.0,-29300.516188010108,0.0,-2.3283064365386963e-10,-11525.000000000524,0.15895340851174256,-0.007559998107352195,-0.009387361464914923,0.17070279365595964,0.0,0.0,-0.010660776860674126,0.0,-2.220446049250313e-16,-0.02901694952824041
"['1', '2', '3', '4+5', '6', '7+8']",215266359.6915728,-24477.325245993212,-18705.0000000007,43182.32524600004,0.0,0.0,1747.67475399049,0.0,-44930.000000000466,26224.999999999476,0.2343053386604782,-0.010410304295845885,-0.015235626568436578,0.2515772592112695,0.0,0.0,0.0006358785783081577,0.0,-0.05409779875157872,0.06602772246230393
"['1', '2', '3', '4+5', '6+7', '8']",369759052.9998708,-55525.51618799381,-18705.0000000007,74230.51618800008,0.0,0.0,-29300.516188010108,0.0,-44930.00000000023,26224.999999999476,0.40246195578372135,-0.023615224044774008,-0.015235626568436578,0.4324618858764365,0.0,0.0,-0.010660776860674126,0.0,-0.054097798751578274,0.06602772246230393
"['1', '2', '3', '4+5', '6+7+8']",809797698.5253496,-143959.4970809929,-18705.00000000093,162664.49708100013,0.0,0.0,-117734.49708100967,0.0,-44930.00000000058,26224.999999999476,0.8814192996588578,-0.06122654970789343,-0.0152356265684368,0.9476721810020688,0.0,0.0,-0.04283682902139274,0.0,-0.05409779875157872,0.06602772246230393
"['1', '2', '3', '4+5', '6+8', '7']",740568649.8336475,-137257.6880229935,-11525.000000000698,148782.68802300014,0.0,0.0,-148782.68802301027,0.0,-4.656612873077393e-10,-11525.000000000524,0.806067369510122,-0.05837624351939952,-0.009387361464914923,0.8667977154467591,0.0,0.0,-0.054133484460375136,0.0,-6.661338147750939e-16,-0.02901694952824041
"['1', '2', '3', '4+5+6', '7', '8']",784084910.9998713,-146000.5161879938,-11525.000000000698,157525.51618800018,0.0,0.0,-29300.516188010108,0.0,-128225.00000000023,116699.99999999948,0.8534323750056325,-0.06209460329479377,-0.009387361464914923,0.9177328314919411,0.0,0.0,-0.010660776860674126,0.0,-0.15438883251549318,0.29382021778268774
"['1', '2', '3', '4+5+6', '7+8']",853313959.6915734,-152702.3252459932,-18705.0000000007,171407.32524600017,0.0,0.0,1747.67475399049,0.0,-173155.00000000047,154449.99999999945,0.9287843051543682,-0.06494490948328768,-0.015235626568436578,0.9986072970472508,0.0,0.0,0.0006358785783081577,0.0,-0.20848663126707168,0.38886488977323197
"['1', '2', '3', '4+5+6+7', '8']",784234972.9998715,-138820.5161879938,-18705.0000000007,157525.5161880002,0.0,0.0,-29300.516188010108,0.0,-128225.00000000023,109519.99999999948,0.8535957090620103,-0.05904092058669619,-0.015235626568436578,0.9177328314919413,0.0,0.0,-0.010660776860674126,0.0,-0.15438883251549318,0.2757428470570691
